Time,Susceptible,Infected,Recovered,Phase,S_ratio,I_ratio,R_ratio
0.0,124997000.0,2000.0,1000.0,dance,0.999976,0.000016,0.000008
0.1,124996942.0,2038.0,1020.0,dance,0.999976,0.000016,0.000008
0.2,124996882.9,2076.7,1040.4,hammer,0.999975,0.000017,0.000008
0.3,124996870.4,2068.4,1061.1,hammer,0.999975,0.000017,0.000008
0.4,124996858.0,2060.1,1081.8,hammer,0.999975,0.000016,0.000009
0.5,124996845.7,2051.9,1102.4,hammer,0.999975,0.000016,0.000009
0.6,124996833.4,2043.7,1123.0,hammer,0.999975,0.000016,0.000009
0.7,124996821.1,2035.5,1143.4,hammer,0.999975,0.000016,0.000009
0.8,124996808.9,2027.4,1163.7,hammer,0.999974,0.000016,0.000009
0.9,124996796.7,2019.3,1184.0,hammer,0.999974,0.000016,0.000009
1.0,124996784.6,2011.2,1204.2,hammer,0.999974,0.000016,0.000010
1.1,124996772.5,2003.1,1224.3,hammer,0.999974,0.000016,0.000010
1.2,124996760.5,1995.1,1244.4,hammer,0.999974,0.000016,0.000010
1.3,124996748.6,1987.1,1264.3,dance,0.999974,0.000016,0.000010
1.4,124996690.9,2024.9,1284.2,dance,0.999974,0.000016,0.000010
1.5,124996632.2,2063.4,1304.4,dance,0.999973,0.000017,0.000010
1.6,124996572.4,2102.6,1325.1,dance,0.999973,0.000017,0.000011
1.7,124996511.4,2142.5,1346.1,dance,0.999972,0.000017,0.000011
1.8,124996449.3,2183.2,1367.5,dance,0.999972,0.000017,0.000011
1.9,124996386.0,2224.7,1389.3,dance,0.999971,0.000018,0.000011
2.0,124996321.5,2267.0,1411.6,dance,0.999971,0.000018,0.000011
2.1,124996255.7,2310.0,1434.3,dance,0.999970,0.000018,0.000011
2.2,124996188.7,2353.9,1457.4,dance,0.999970,0.000019,0.000012
2.3,124996120.5,2398.6,1480.9,dance,0.999969,0.000019,0.000012
2.4,124996050.9,2444.2,1504.9,dance,0.999968,0.000020,0.000012
2.5,124995980.0,2490.6,1529.3,dance,0.999968,0.000020,0.000012
2.6,124995907.8,2538.0,1554.2,dance,0.999967,0.000020,0.000012
2.7,124995834.2,2586.2,1579.6,hammer,0.999967,0.000021,0.000013
2.8,124995818.7,2575.8,1605.5,hammer,0.999967,0.000021,0.000013
2.9,124995803.3,2565.5,1631.2,hammer,0.999966,0.000021,0.000013
3.0,124995787.9,2555.3,1656.9,hammer,0.999966,0.000020,0.000013
3.1,124995772.5,2545.0,1682.4,hammer,0.999966,0.000020,0.000013
3.2,124995757.3,2534.9,1707.9,hammer,0.999966,0.000020,0.000014
3.3,124995742.1,2524.7,1733.2,hammer,0.999966,0.000020,0.000014
3.4,124995726.9,2514.6,1758.5,hammer,0.999966,0.000020,0.000014
3.5,124995711.8,2504.6,1783.6,hammer,0.999966,0.000020,0.000014
3.6,124995696.8,2494.5,1808.7,hammer,0.999966,0.000020,0.000014
3.7,124995681.8,2484.6,1833.6,hammer,0.999965,0.000020,0.000015
3.8,124995666.9,2474.6,1858.5,hammer,0.999965,0.000020,0.000015
3.9,124995652.1,2464.7,1883.2,hammer,0.999965,0.000020,0.000015
4.0,124995637.3,2454.9,1907.9,hammer,0.999965,0.000020,0.000015
4.1,124995622.6,2445.0,1932.4,hammer,0.999965,0.000020,0.000015
4.2,124995607.9,2435.3,1956.9,hammer,0.999965,0.000019,0.000016
4.3,124995593.3,2425.5,1981.2,hammer,0.999965,0.000019,0.000016
4.4,124995578.7,2415.8,2005.5,hammer,0.999965,0.000019,0.000016
4.5,124995564.2,2406.1,2029.6,hammer,0.999965,0.000019,0.000016
4.6,124995549.8,2396.5,2053.7,hammer,0.999964,0.000019,0.000016
4.7,124995535.4,2386.9,2077.7,hammer,0.999964,0.000019,0.000017
4.8,124995521.1,2377.4,2101.5,hammer,0.999964,0.000019,0.000017
4.9,124995506.8,2367.9,2125.3,hammer,0.999964,0.000019,0.000017
5.0,124995492.6,2358.4,2149.0,hammer,0.999964,0.000019,0.000017
5.1,124995478.5,2349.0,2172.6,hammer,0.999964,0.000019,0.000017
5.2,124995464.4,2339.6,2196.0,hammer,0.999964,0.000019,0.000018
5.3,124995450.3,2330.2,2219.4,hammer,0.999964,0.000019,0.000018
5.4,124995436.4,2320.9,2242.7,hammer,0.999963,0.000019,0.000018
5.5,124995422.4,2311.6,2266.0,hammer,0.999963,0.000018,0.000018
5.6,124995408.6,2302.4,2289.1,hammer,0.999963,0.000018,0.000018
5.7,124995394.8,2293.1,2312.1,hammer,0.999963,0.000018,0.000018
5.8,124995381.0,2284.0,2335.0,hammer,0.999963,0.000018,0.000019
5.9,124995367.3,2274.8,2357.9,hammer,0.999963,0.000018,0.000019
6.0,124995353.7,2265.7,2380.6,hammer,0.999963,0.000018,0.000019
6.1,124995340.1,2256.7,2403.3,hammer,0.999963,0.000018,0.000019
6.2,124995326.5,2247.6,2425.8,hammer,0.999963,0.000018,0.000019
6.3,124995313.0,2238.7,2448.3,hammer,0.999963,0.000018,0.000020
6.4,124995299.6,2229.7,2470.7,hammer,0.999962,0.000018,0.000020
6.5,124995286.2,2220.8,2493.0,hammer,0.999962,0.000018,0.000020
6.6,124995272.9,2211.9,2515.2,hammer,0.999962,0.000018,0.000020
6.7,124995259.6,2203.0,2537.3,hammer,0.999962,0.000018,0.000020
6.8,124995246.4,2194.2,2559.4,hammer,0.999962,0.000018,0.000020
6.9,124995233.3,2185.5,2581.3,hammer,0.999962,0.000017,0.000021
7.0,124995220.1,2176.7,2603.2,hammer,0.999962,0.000017,0.000021
7.1,124995207.1,2168.0,2624.9,hammer,0.999962,0.000017,0.000021
7.2,124995194.1,2159.3,2646.6,hammer,0.999962,0.000017,0.000021
7.3,124995181.1,2150.7,2668.2,hammer,0.999961,0.000017,0.000021
7.4,124995168.2,2142.1,2689.7,hammer,0.999961,0.000017,0.000022
7.5,124995155.4,2133.5,2711.1,hammer,0.999961,0.000017,0.000022
7.6,124995142.6,2125.0,2732.5,hammer,0.999961,0.000017,0.000022
7.7,124995129.8,2116.5,2753.7,hammer,0.999961,0.000017,0.000022
7.8,124995117.1,2108.0,2774.9,hammer,0.999961,0.000017,0.000022
7.9,124995104.5,2099.6,2795.9,hammer,0.999961,0.000017,0.000022
8.0,124995091.9,2091.2,2816.9,hammer,0.999961,0.000017,0.000023
8.1,124995079.3,2082.8,2837.9,hammer,0.999961,0.000017,0.000023
8.2,124995066.8,2074.5,2858.7,hammer,0.999961,0.000017,0.000023
8.3,124995054.4,2066.2,2879.4,hammer,0.999960,0.000017,0.000023
8.4,124995042.0,2057.9,2900.1,hammer,0.999960,0.000016,0.000023
8.5,124995029.6,2049.7,2920.7,hammer,0.999960,0.000016,0.000023
8.6,124995017.3,2041.5,2941.2,hammer,0.999960,0.000016,0.000024
8.7,124995005.1,2033.3,2961.6,hammer,0.999960,0.000016,0.000024
8.8,124994992.9,2025.2,2981.9,hammer,0.999960,0.000016,0.000024
8.9,124994980.7,2017.1,3002.2,hammer,0.999960,0.000016,0.000024
9.0,124994968.6,2009.0,3022.3,hammer,0.999960,0.000016,0.000024
9.1,124994956.6,2001.0,3042.4,hammer,0.999960,0.000016,0.000024
9.2,124994944.6,1993.0,3062.4,hammer,0.999960,0.000016,0.000024
9.3,124994932.6,1985.0,3082.4,dance,0.999959,0.000016,0.000025
9.4,124994875.1,2022.7,3102.2,dance,0.999959,0.000016,0.000025
9.5,124994816.4,2061.1,3122.4,dance,0.999959,0.000016,0.000025
9.6,124994756.7,2100.3,3143.1,dance,0.999958,0.000017,0.000025
9.7,124994695.7,2140.2,3164.1,dance,0.999958,0.000017,0.000025
9.8,124994633.7,2180.9,3185.5,dance,0.999957,0.000017,0.000025
9.9,124994570.4,2222.3,3207.3,dance,0.999957,0.000018,0.000026
10.0,124994506.0,2264.5,3229.5,dance,0.999956,0.000018,0.000026
10.1,124994440.3,2307.5,3252.1,dance,0.999956,0.000018,0.000026
10.2,124994373.4,2351.4,3275.2,dance,0.999955,0.000019,0.000026
10.3,124994305.2,2396.0,3298.7,dance,0.999954,0.000019,0.000026
10.4,124994235.8,2441.5,3322.7,dance,0.999954,0.000020,0.000027
10.5,124994165.0,2487.9,3347.1,dance,0.999953,0.000020,0.000027
10.6,124994092.8,2535.2,3372.0,dance,0.999953,0.000020,0.000027
